timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
2025-07-13T11:10:09.620570,11524,-3232,12292,-1346,2495,-307,sitting
2025-07-13T11:10:09.620570,11124,-3376,12052,-1319,2383,-389,sitting
2025-07-13T11:10:09.620570,10760,-3724,12448,-1133,1764,-328,sitting
2025-07-13T11:10:09.620570,10740,-3696,12636,-716,838,-341,sitting
2025-07-13T11:10:09.620570,10976,-3564,12496,-291,44,-418,sitting
2025-07-13T11:10:09.620570,11264,-3272,12164,-35,-418,-437,sitting
2025-07-13T11:10:09.620570,11640,-3064,11980,67,-506,-448,sitting
2025-07-13T11:10:09.620570,11960,-2784,11848,-105,-460,-493,sitting
2025-07-13T11:10:09.620570,12480,-2800,11728,-225,-487,-527,sitting
2025-07-13T11:10:09.620570,12860,-2732,11780,-288,-442,-542,sitting
2025-07-13T11:10:09.620570,12872,-2440,11696,-464,317,-775,sitting
2025-07-13T11:10:09.620570,12320,-2744,11520,-847,1052,-806,sitting
2025-07-13T11:10:09.620570,11756,-3092,11892,-1076,1635,-456,sitting
2025-07-13T11:10:09.620570,11460,-3168,12204,-955,1457,-203,sitting
2025-07-13T11:10:09.620570,11692,-3492,12232,-535,1027,-347,sitting
2025-07-13T11:10:09.620570,11724,-3408,12164,-276,861,-420,sitting
2025-07-13T11:10:09.620570,11808,-3180,12020,-224,911,-326,sitting
2025-07-13T11:10:09.620570,11996,-2988,11892,-255,859,-359,sitting
2025-07-13T11:10:09.620570,11988,-2892,11916,-212,850,-546,sitting
2025-07-13T11:10:09.620570,11920,-2832,11932,-148,850,-646,sitting
2025-07-13T11:10:09.620570,12216,-2864,11748,-94,783,-640,sitting
2025-07-13T11:10:09.620570,12496,-2816,11588,-266,1154,-507,sitting
2025-07-13T11:10:09.620570,12560,-2736,11792,-628,1432,-604,sitting
2025-07-13T11:10:09.620570,12020,-2756,11896,-711,1307,-884,sitting
2025-07-13T11:10:09.620570,11684,-2760,11996,-691,1041,-986,sitting
2025-07-13T11:10:09.620570,11376,-2704,12076,-638,889,-954,sitting
2025-07-13T11:10:09.620570,11240,-2904,12292,-523,770,-665,sitting
2025-07-13T11:10:09.620570,11524,-2932,12224,-258,718,-403,sitting
2025-07-13T11:10:09.620570,11696,-2976,12168,-117,758,-208,sitting
2025-07-13T11:10:09.620570,11948,-2936,11788,-33,615,-173,sitting
2025-07-13T11:10:09.620570,12224,-2948,11892,-86,627,-277,sitting
2025-07-13T11:10:09.620570,12272,-2872,11780,-246,673,-368,sitting
2025-07-13T11:10:09.629000,12304,-2912,11852,-365,843,-485,sitting
2025-07-13T11:10:09.629000,12204,-2896,11788,-522,1070,-470,sitting
2025-07-13T11:10:09.629000,12156,-2880,11852,-509,1095,-400,sitting
2025-07-13T11:10:10.652059,11612,-2564,12040,-565,967,-405,sitting
2025-07-13T11:10:10.652059,11628,-2696,12156,-625,963,-318,sitting
2025-07-13T11:10:10.652059,11644,-2880,12304,-536,840,-232,sitting
2025-07-13T11:10:10.652059,11868,-2936,12232,-378,710,-219,sitting
2025-07-13T11:10:10.652059,12052,-2696,12132,-290,685,-303,sitting
2025-07-13T11:10:10.652059,12248,-2524,11916,-295,931,-401,sitting
